stream_id,step_id,processed,exact,estimate,abs_err,rel_err
0,0,10000,2134.000000,2165.660734,31.660734,0.014836
0,1,20000,4270.000000,4259.133824,10.866176,0.002545
0,2,30000,6388.000000,6543.548463,155.548463,0.024350
0,3,40000,8550.000000,8807.422672,257.422672,0.030108
0,4,50000,10664.000000,10912.780782,248.780782,0.023329
0,5,60000,12849.000000,13081.800372,232.800372,0.018118
0,6,70000,14925.000000,15306.462377,381.462377,0.025559
0,7,80000,17026.000000,17273.548666,247.548666,0.014539
0,8,90000,19161.000000,19266.747041,105.747041,0.005519
0,9,100000,21362.000000,21523.914811,161.914811,0.007580
0,10,110000,23514.000000,23621.072071,107.072071,0.004554
0,11,120000,25619.000000,25533.377530,85.622470,0.003342
0,12,130000,27722.000000,27391.783644,330.216356,0.011912
0,13,140000,29839.000000,29276.374861,562.625139,0.018855
0,14,150000,31922.000000,31421.115813,500.884187,0.015691
0,15,160000,34065.000000,33699.298542,365.701458,0.010735
0,16,170000,36172.000000,35730.773866,441.226134,0.012198
0,17,180000,38276.000000,37935.394929,340.605071,0.008899
0,18,190000,40395.000000,40368.411909,26.588091,0.000658
0,19,200000,42533.000000,42644.544999,111.544999,0.002623
1,0,10000,2186.000000,2150.418210,35.581790,0.016277
1,1,20000,4348.000000,4264.795193,83.204807,0.019136
1,2,30000,6466.000000,6289.711557,176.288443,0.027264
1,3,40000,8559.000000,8430.324542,128.675458,0.015034
1,4,50000,10667.000000,10775.529255,108.529255,0.010174
1,5,60000,12783.000000,12865.896067,82.896067,0.006485
1,6,70000,15018.000000,15084.304453,66.304453,0.004415
1,7,80000,17155.000000,17071.533621,83.466379,0.004865
1,8,90000,19319.000000,19039.925365,279.074635,0.014446
1,9,100000,21471.000000,21430.178916,40.821084,0.001901
1,10,110000,23537.000000,23497.769253,39.230747,0.001667
1,11,120000,25646.000000,25444.105922,201.894078,0.007872
1,12,130000,27796.000000,27342.235966,453.764034,0.016325
1,13,140000,29946.000000,29470.716650,475.283350,0.015871
1,14,150000,32138.000000,31692.128027,445.871973,0.013874
1,15,160000,34225.000000,33784.010731,440.989269,0.012885
1,16,170000,36263.000000,35700.185085,562.814915,0.015520
1,17,180000,38313.000000,37745.967117,567.032883,0.014800
1,18,190000,40431.000000,40202.350825,228.649175,0.005655
1,19,200000,42578.000000,42318.838529,259.161471,0.006087
2,0,10000,2183.000000,2206.586969,23.586969,0.010805
2,1,20000,4314.000000,4264.795193,49.204807,0.011406
2,2,30000,6411.000000,6266.557171,144.442829,0.022530
2,3,40000,8544.000000,8391.351841,152.648159,0.017866
2,4,50000,10713.000000,11063.552543,350.552543,0.032722
2,5,60000,12833.000000,13113.456901,280.456901,0.021854
2,6,70000,14970.000000,15137.098613,167.098613,0.011162
2,7,80000,17070.000000,17331.776439,261.776439,0.015335
2,8,90000,19099.000000,19549.283028,450.283028,0.023576
2,9,100000,21237.000000,21793.940510,556.940510,0.026225
2,10,110000,23323.000000,23969.862314,646.862314,0.027735
2,11,120000,25449.000000,25906.483935,457.483935,0.017976
2,12,130000,27564.000000,28033.863771,469.863771,0.017046
2,13,140000,29625.000000,29883.208319,258.208319,0.008716
2,14,150000,31723.000000,31950.897633,227.897633,0.007184
2,15,160000,33844.000000,34013.382016,169.382016,0.005005
2,16,170000,35906.000000,35962.766052,56.766052,0.001581
2,17,180000,38058.000000,38207.992326,149.992326,0.003941
2,18,190000,40169.000000,40275.353907,106.353907,0.002648
2,19,200000,42255.000000,41920.007124,334.992876,0.007928
3,0,10000,2191.000000,2216.882743,25.882743,0.011813
3,1,20000,4338.000000,4359.355531,21.355531,0.004923
3,2,30000,6472.000000,6528.752541,56.752541,0.008769
3,3,40000,8496.000000,8647.435223,151.435223,0.017824
3,4,50000,10622.000000,10766.943854,144.943854,0.013646
3,5,60000,12790.000000,12778.164823,11.835177,0.000925
3,6,70000,14833.000000,14845.109633,12.109633,0.000816
3,7,80000,16982.000000,16833.027843,148.972157,0.008772
3,8,90000,19104.000000,18632.285194,471.714806,0.024692
3,9,100000,21187.000000,20698.253548,488.746452,0.023068
3,10,110000,23308.000000,22895.743248,412.256752,0.017687
3,11,120000,25475.000000,25075.960576,399.039424,0.015664
3,12,130000,27553.000000,27263.655624,289.344376,0.010501
3,13,140000,29661.000000,29415.225563,245.774437,0.008286
3,14,150000,31845.000000,31465.225630,379.774370,0.011926
3,15,160000,33948.000000,33704.286622,243.713378,0.007179
3,16,170000,36065.000000,35803.629701,261.370299,0.007247
3,17,180000,38172.000000,37872.651064,299.348936,0.007842
3,18,190000,40334.000000,40284.949262,49.050738,0.001216
3,19,200000,42459.000000,42256.456152,202.543848,0.004770
4,0,10000,2150.000000,2118.424625,31.575375,0.014686
4,1,20000,4277.000000,4284.671835,7.671835,0.001794
4,2,30000,6314.000000,6238.943584,75.056416,0.011887
4,3,40000,8435.000000,8337.405624,97.594376,0.011570
4,4,50000,10581.000000,10814.367826,233.367826,0.022055
4,5,60000,12753.000000,12812.781518,59.781518,0.004688
4,6,70000,14909.000000,14979.945441,70.945441,0.004759
4,7,80000,17047.000000,17118.533745,71.533745,0.004196
4,8,90000,19210.000000,19238.014972,28.014972,0.001458
