step_id,processed,mean_exact,mean_est,std_est,bias_rel,rmse_rel,theory_104,theory_13
0,10000,2166.36666667,2160.06737831,48.30359336,-0.00290777,0.01463631,0.01625000,0.02031250
1,20000,4313.26666667,4295.58719744,78.58595670,-0.00409886,0.01292413,0.01625000,0.02031250
2,30000,6438.66666667,6418.43701623,128.82226428,-0.00314190,0.01448694,0.01625000,0.02031250
3,40000,8559.10000000,8544.32739393,173.68833001,-0.00172595,0.01648708,0.01625000,0.02031250
4,50000,10677.16666667,10906.99811647,154.41911772,0.02152551,0.02411479,0.01625000,0.02031250
5,60000,12800.96666667,12950.80015567,180.01959520,0.01170486,0.01577465,0.01625000,0.02031250
6,70000,14912.93333333,15058.34667163,205.62617752,0.00975082,0.01407552,0.01625000,0.02031250
7,80000,17033.93333333,17133.19621775,245.96650609,0.00582736,0.01288994,0.01625000,0.02031250
8,90000,19144.50000000,19208.21638138,338.43554570,0.00332818,0.01512291,0.01625000,0.02031250
9,100000,21260.70000000,21310.74181742,363.94390912,0.00235372,0.01396066,0.01625000,0.02031250
10,110000,23372.83333333,23429.25132492,418.01742139,0.00241383,0.01466864,0.01625000,0.02031250
11,120000,25493.76666667,25482.59128499,459.03126638,-0.00043836,0.01444844,0.01625000,0.02031250
12,130000,27609.43333333,27617.16267100,517.17330936,0.00027995,0.01565895,0.01625000,0.02031250
13,140000,29716.73333333,29702.87184033,489.88379253,-0.00046645,0.01416225,0.01625000,0.02031250
14,150000,31825.30000000,31813.48578261,531.72023569,-0.00037122,0.01443398,0.01625000,0.02031250
15,160000,33932.56666667,33962.80460161,608.86210688,0.00089112,0.01519627,0.01625000,0.02031250
16,170000,36027.30000000,36023.26982999,574.52616618,-0.00011186,0.01340043,0.01625000,0.02031250
17,180000,38140.46666667,38167.52448927,561.08313330,0.00070943,0.01286982,0.01625000,0.02031250
18,190000,40254.56666667,40329.61409593,580.31593214,0.00186432,0.01308642,0.01625000,0.02031250
19,200000,42368.10000000,42417.11662871,651.55050339,0.00115692,0.01359428,0.01625000,0.02031250
